Country_Code,Country_Name,Indicator_Code,Indicator_Name,Number of Records,Year,Value
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1990,32644
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1990,32957
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1990,34761
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1990,32517
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1990,28185
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1990,36126
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1990,17706
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1991,43740
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1991,32776
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1991,34207
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1991,18448
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1991,31548
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1991,27811
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1991,35585
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1991,34012
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1991,36321
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1991,60164
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1991,23055
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1991,35688
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1991,64290
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1992,44548
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1992,33177
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1992,34550
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1992,19393
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1992,36554
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1992,62562
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1992,34460
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1992,63402
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1992,33793
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1992,31369
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1992,24243
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1992,27911
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1992,36318
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1993,44622
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1993,32857
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1993,33930
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1993,21177
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1993,28521
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1993,36820
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1993,36967
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1993,63874
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1993,25780
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1993,35210
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1993,31921
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1993,33299
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1993,63038
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1994,35123
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1994,62848
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1994,38032
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1994,67067
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1994,28386
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1994,36388
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1994,32929
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1994,21871
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1994,29654
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1994,37785
